name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
BD+20 2457 b,5023.0,9.743,2009,55.59,1.898e+27,1.03,71492.0,1.05,1.0392882,0.15,Radial Velocity,57.25770000000001,10.23015,1-2,Yes,Temperate,Low,Medium,Low,1.0550982e+29,73636.76,1298642888.58964,Unknown,High,Unknown,Medium,0.9998606980265216,1.202682043309799,Very Low,Iron World
BD+20 2457 c,5023.0,9.743,2009,12.47,1.898e+27,1.1,71492.0,2.01,1.7,0.18,Radial Velocity,13.717000000000002,19.58343,>2,No,Cold,Low,Medium,Low,2.366806e+28,78641.20000000001,255416294.61113927,Low,High,Unknown,Medium,0.9997328002696936,1.2025541455529714,Very Low,Iron World
BD+20 274 b,4314.0,9.367,2012,4.2,1.898e+27,1.16,71492.0,1.3,1.6,0.21,Radial Velocity,4.872,12.1771,1-2,Yes,Temperate,Low,Medium,Low,7.971599999999999e+27,82930.72,77357215.53451294,Unknown,High,Unknown,Medium,0.9998273913190144,1.1940520929514622,Very Low,Titanium World
BD+20 594 b,585.0,10.849,2016,22.2481,5.972e+24,0.23,71492.0,0.241,0.11416838,0.0,Transit,5.117063000000001,2.614609,<0.5,No,Hot,Unknown,Medium,Low,1.328656532e+26,16443.16,32796565.323806025,Low,Medium,Unknown,Medium,0.9999684785320152,1.2280767596605533,Low,Methane World
BD+45 564 b,175.0,9.67,2021,1.36,1.898e+27,1.21,71492.0,0.83,0.84298426,0.12,Radial Velocity,1.6456000000000002,8.0261,0.5-1,Yes,Temperate,Low,Medium,Low,2.5812800000000003e+27,86505.31999999999,23021609.59334797,Unknown,High,Unknown,Medium,0.999890007929128,1.2010423239929626,Very Low,Shadow World
BD+48 738 b,2843.0,9.139,2011,0.91,1.898e+27,1.24,71492.0,1.0,1.0748802,0.2,Radial Velocity,1.1284,9.139,0.5-1,Yes,Temperate,Low,Medium,Low,1.72718e+27,88650.08,14667818.894187128,Unknown,High,Unknown,Medium,0.9998673593680232,1.188879202616457,Very Low,Shadow World
BD+48 740 b,2174.0,8.69,2018,1.7,1.898e+27,1.2,71492.0,1.7,2.0,0.76,Radial Velocity,2.04,14.772999999999998,1-2,No,Cold,Low,Medium,Low,3.2266e+27,85790.4,29258627.26182358,Low,High,Unknown,Medium,0.9997741005870028,1.1785202709651637,Very Low,Magnetic World
BD+49 828 b,1442.0,9.381,2015,1.6,1.898e+27,1.21,71492.0,4.2,7.1,0.35,Radial Velocity,1.936,39.400200000000005,>2,No,Cold,Low,Medium,Low,3.0367999999999995e+27,86505.31999999999,27084246.580409378,Low,High,Unknown,Medium,0.99944103351193,1.1939858229398874,Very Low,Plateau World
BD+55 362 b,171.0,9.38,2021,0.72,1.898e+27,1.25,71492.0,0.78,0.7271732,0.27,Radial Velocity,0.8999999999999999,7.316400000000001,0.5-1,Yes,Temperate,Low,Medium,Low,1.36656e+27,89365.0,11420365.08049268,Unknown,Medium,Unknown,Low,0.9998966692706296,1.1944185952846218,Very Low,Shadow World
BD+60 1417 b,147.0,9.374,2021,15.0,1.898e+27,1.31,71492.0,1662.0,67794.6,0.0,Direct Imaging,19.65,15579.588000000002,>2,No,Cold,Low,Medium,Low,2.847e+28,93654.52,216628795.4066125,Low,High,Unknown,Medium,0.7785775946897704,0.972962340219973,Extremely Low,Iron World
BD+63 1405 b,124.0,8.96,2021,3.96,1.898e+27,1.16,71492.0,2.06,3.3,0.88,Radial Velocity,4.5936,18.457600000000003,>2,No,Cold,Low,Medium,Low,7.51608e+27,82930.72,72936803.21825504,Low,High,Unknown,Medium,0.9997261389281924,1.184645431076896,Very Low,Shadow World
Beta Cancri b,290.0,3.51012,2014,7.8,1.898e+27,1.12,71492.0,1.7,1.7,0.08,Radial Velocity,8.736,5.967204,1-2,No,Cold,Low,Medium,Low,1.48044e+28,80071.04000000001,154108315.85984504,Low,High,Unknown,Medium,0.9997741005870028,1.060090530236278,Extremely Low,Iron World
Beta Pictoris b,64.0,3.85,2008,11.73313,1.898e+27,1.65,71492.0,10.019926,23.6,0.11,Direct Imaging,19.3596645,38.5767151,>2,No,Cold,Low,Medium,Low,2.226948074e+28,117961.8,106810392.54355513,Low,High,Unknown,Medium,0.9986656632199464,1.0667529100076367,Extremely Low,Iron World
